Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),Quantity,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2005, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2006, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2007,"471,560",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2008,"312,320",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2009,"420,280",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2010,"455,320",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2011,"540,720",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2012,"611,240",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2013,"787,480",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2014,"486,280",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2015,"521,680",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2016, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2017, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2018, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2019, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2005, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2006, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2007, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2008, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2009,"43,750",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2010,"40,854",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2011,"41,434",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2012,"34,730",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2013,"42,952",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2014,"28,099",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2015, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2016, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2017, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2018, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2019, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2005, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2006, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2007, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2008,363,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2009,565,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2010,497,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2011,680,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2012,478,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2013,570,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2014,585,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2015, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2016, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2017, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2018, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2019, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2005,"74,545,587",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2006,"67,563,212",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2007,"66,904,348",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2008,"65,874,761",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2009,"58,244,894",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2010,"52,326,859",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2011,"49,097,873",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2012,"48,399,462",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2013,"47,550,147",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2014,"46,977,811",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2015,"53,905,373",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2016,"55,568,384",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2017,"43,303,687",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2018,"57,165,945",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Electricity,2019,"55,931,809",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2005, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2006, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2007, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2008,"4,241",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2009,"3,710",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2010,"3,844",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2011,"6,787",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2012,"4,718",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2013,"5,458",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2014,"12,053",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2015,9,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2016,"3,240",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2017,"4,483",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2018,"5,683",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Fuel Oil,2019,"5,851",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2005,"6,531,828",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2006,"6,309,638",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2007,"6,884,399",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2008,"6,146,562",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2009,"6,219,454",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2010,"6,030,348",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2011,"6,914,210",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2012,"6,082,024",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2013,"6,906,089",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2014,"7,025,314",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2015,"7,018,831",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2016,"5,806,882",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2017,"6,006,762",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2018,"6,480,145",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Buildings,Natural Gas,2019,"6,299,722",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2005,"1,349,459",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2006,"1,351,412",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2007,"1,427,132",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2008,"1,441,956",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2009,"1,440,980",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2010,"1,333,486",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2011,"1,418,967",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2012,"1,404,036",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2013,"1,462,601",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2014,"1,517,323",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2015,"1,399,372",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2016,"1,227,843",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2017,"1,080,712",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2018,"809,767",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Diesel,2019,"798,955",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2005,"21,700",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2006,"21,764",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2007,"32,993",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2008,"37,218",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2009,"35,914",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2010,"35,270",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2011,"34,455",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2012,"37,105",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2013,"30,806",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2014,"53,963",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2015,"13,948",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2016,"23,465",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2017,"30,581",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2018,"27,369",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Gasoline,2019,"21,660",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Propane,2016,"313,995",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Propane,2017,"758,991",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Propane,2018,"906,043",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Schools,BPS,Vehicles,Propane,2019,"889,383",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2005,"3,342,963",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2006,"3,676,429",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2007,"3,575,007",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2008,"3,846,918",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2009,"4,058,351",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2010,"3,956,407",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2011,"3,901,655",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2012,"3,667,255",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2013,"4,069,128",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2014,"4,159,013",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2015,"4,300,069",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2016,"4,128,664",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2017,"3,924,219",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2018,"4,671,249",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Electricity,2019,"4,863,795",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2005,"510,076",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2006,"502,884",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2007,"458,027",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2008,"477,836",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2009,"481,767",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2010,"482,922",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2011,"454,721",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2012,"394,912",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2013,"400,574",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2014,"466,887",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2015,"463,752",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2016,"394,832",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2017,"435,016",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2018,"438,296",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Buildings,Natural Gas,2019,"431,553",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2005, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2006, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2007, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2008,89,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2009,355,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2010,415,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2011,"1,327",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2012,616,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2013,"1,095",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2014,543,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2015, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2016, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2017, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2018, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Diesel,2019, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2005, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2006, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2007, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2008,"12,743",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2009,"11,432",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2010,"11,535",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2011,"11,550",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2012,"8,494",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2013,"7,341",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2014,"7,745",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2015, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2016, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2017, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2018, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Youth and Families,BCYF,Vehicles,Gasoline,2019, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2005,"370,379",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2006,"315,857",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2007,"478,802",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2008,"503,616",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2009,"526,083",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2010,"527,275",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2011,"445,091",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2012,"510,392",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2013,"539,196",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2014,"487,288",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2015,"478,281",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2016,"484,638",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2017,"454,350",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medical Services,EMS,Buildings,Electricity,2018,"258,720",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
