Protocol,Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e),,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2018,1420,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2019,1424,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2005,"2,711",,, ,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2006,"2,673",,, ,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2007,"2,435",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2008,"2,540",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2009,"2,561",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2010,"2,567",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2011,"2,417",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2012,"2,099",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2013,"2,129",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2014,"2,482",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2015,"2,465",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2016,"2,099",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Natural Gas,2017,2312,,,,,,,,,
