Protocol,Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e),,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2012,12,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2013,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2014,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2008,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2009,103,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2010,127,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2011,242,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2012,164,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2013,198,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2014,281,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2015,3,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2016,57,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2017,53,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2018,319,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Natural Gas,2019,293,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2008,30,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2009,28,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2010,27,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2011,29,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2012,18,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2013,10,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2014,5,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Vehicles,Gasoline,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2005,"1,566",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2006,"1,572",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2007,"1,842",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2008,"1,845",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2009,"1,700",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2010,"1,707",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2011,"1,596",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2012,"1,391",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2013,"1,339",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2014,"1,417",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2015,"1,283",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2016,"1,236",,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2017,1119,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2018,1183,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Electricity,2019,1175,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2005,200,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2006,200,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2007,169,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2008,227,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2009,274,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2010,238,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2011,287,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2012,239,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2013,251,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2014,290,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2015,207,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2016,181,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2017,235,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2018,320,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Fuel Oil,2019,356,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2005,554,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2006,422,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2007,377,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2008,380,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2009,376,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2010,323,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2011,350,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2012,311,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2013,336,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2014,396,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2015,472,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2016,399,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2017,341,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2018,535,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Buildings,Natural Gas,2019,439,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2005,523,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2006,507,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2007,474,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2008,561,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2009,624,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2010,689,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2011,626,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2012,661,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2013,621,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2014,528,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2015,523,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2016,447,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2017,261,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2018,240,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Diesel,2019,113,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2005,205,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2006,120,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2007,377,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2008,498,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2009,503,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2010,480,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2011,477,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2012,597,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2013,515,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2014,478,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2015,639,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2016,651,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2017,663,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2018,718,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Gasoline,2019,524,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Biodiesel,2018,12,,,,,,,,,
ICLEI: Local Government Operations Protocol,Parks and Recreation,Parks,Vehicles,Biodiesel,2019,-,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2005,"4,522",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2006,"4,690",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2007,"4,247",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2008,"4,598",,,,,,,,, 
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2009,"4,509",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2010,"4,339",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2011,"4,245",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2012,"4,081",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2013,"3,588",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2014,"3,824",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2015,"3,806",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2016,"3,698",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2017,3368,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2018,3319,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Electricity,2019,3245,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2005,538,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2006,420,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2007,373,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2008,347,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2009,388,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2010,337,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2011,287,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2012,230,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2013,247,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2014,270,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2015,282,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2016,153,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2017,184,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2018,221,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Fuel Oil,2019,248,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2005,"2,735",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2006,"2,230",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2007,"2,165",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2008,"2,338",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2009,"2,542",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2010,"2,351",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2011,"2,543",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2012,"2,386",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2013,"2,572",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2014,"2,584",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2015,"2,702",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2016,"2,128",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2017,2363,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2018,2491,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Buildings,Natural Gas,2019,2342,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2006,2,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2008,49,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2009,41,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2010,41,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2011,35,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2012,48,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2013,67,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2014,92,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2016,4,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2017,7,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2018,2,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Diesel,2019,10,,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2005,"7,417",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2006,"7,643",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2007,"7,866",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2008,"8,422",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2009,"7,982",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2010,"7,893",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2011,"7,532",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2012,"7,906",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2013,"8,454",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2014,"7,968",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2015,"7,737",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2016,"7,107",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2017,"7,291",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2018,"9,653",,,,,,,,,
ICLEI: Local Government Operations Protocol,Police,Police,Vehicles,Gasoline,2019,"7,579",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2005,"7,322",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2006,"7,288",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2007,"6,899",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2008,"7,307",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2009,"6,732",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2010,"5,471",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2011,"5,995",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2012,"5,421",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2013,"5,785",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2014,"4,582",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2015,"5,627",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2016,"5,241",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2017,5441,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2018,4946,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Electricity,2019,4783,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2005,450,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2006,403,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2007,397,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2008,160,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2009,234,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2010,175,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2011,177,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2012,112,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2013,156,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2014,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Fuel Oil,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2005,674,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2006,676,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2007,773,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2008,880,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2009,890,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2010,769,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2011,"1,164",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2012,"1,108",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2013,"1,207",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2014,"1,278",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2015,"1,939",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2016,"1,250",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2017,1213,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2018,1190,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Natural Gas,2019,1263,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2005,"2,981",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2006,"2,001",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2007,"1,645",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2008,"1,750",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2009,"1,490",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2010,"1,052",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2011,"1,455",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2012,998,,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2013,"1,097",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2014,"1,538",,,,,,,,,
ICLEI: Local Government Operations Protocol,Property & Construction Mgmt,PCM,Buildings,Steam,2015,"1,202",,,,,,,,,
