Protocol,Sector,Source,Year(Calendar Year), GHG Emissions(mt CO2e) ,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2011,"468,863",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2012,"430,057",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2013,"441,537",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2014,"434,517",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2015,"450,710",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2016,"414,815",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2017,"393,769",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2018,"405,040",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2019,"372,140",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2005,"401,887",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2006,"408,776",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2007,"372,078",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2008,"382,537",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2009,"386,535",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2010,"369,463",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2011,"279,116",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2012,"244,802",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2013,"249,076",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2014,"241,487",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2015,"256,655",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2016,"259,974",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2017,"204,343",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2018,"198,128",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2019,"168,634",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2005,"588,322",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2006,"527,807",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2007,"571,849",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2008,"573,561",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2009,"572,857",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2010,"556,817",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2011,"576,908",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2012,"504,988",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2013,"586,381",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2014,"620,010",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2015,"617,809",,,,,,,,
